date,scenario,equity,net_pnl,return_pct
2020-01-02,aggressive_1.2x_margin,220501.596,-298.404,-0.0013514673913043477
2020-01-03,aggressive_1.2x_margin,217701.596,-3098.404,-0.014032626811594203
2020-01-06,aggressive_1.2x_margin,190101.596,-30698.404,-0.1390326268115942
2020-01-07,aggressive_1.2x_margin,174501.596,-46298.403999999995,-0.20968480072463766
2020-01-08,aggressive_1.2x_margin,157901.596,-62898.403999999995,-0.2848659601449275
2020-01-09,aggressive_1.2x_margin,194101.596,-26698.403999999995,-0.12091668478260867
2020-01-10,aggressive_1.2x_margin,202501.596,-18298.403999999995,-0.0828732065217391
2020-01-13,aggressive_1.2x_margin,223501.596,2701.596000000005,0.012235489130434806
2020-01-14,aggressive_1.2x_margin,235904.356,15104.356000000005,0.06840740942028987
2020-01-15,aggressive_1.2x_margin,215704.356,-5095.643999999995,-0.023078097826086934
2020-01-16,aggressive_1.2x_margin,215304.356,-5495.643999999995,-0.024889692028985482
2020-01-17,aggressive_1.2x_margin,219104.356,-1695.6439999999948,-0.007679547101449252
2020-01-20,aggressive_1.2x_margin,227104.356,6304.356000000005,0.028552336956521762
2020-01-30,aggressive_1.2x_margin,184000,-141495.644,-0.6408317210144927
2020-01-31,aggressive_1.2x_margin,203400,-122095.644,-0.552969402173913
2020-02-03,aggressive_1.2x_margin,174400,-151095.644,-0.684309981884058
2020-02-04,aggressive_1.2x_margin,216400,-109095.644,-0.49409259057971017
2020-02-05,aggressive_1.2x_margin,218000,-107495.644,-0.48684621376811593
2020-02-06,aggressive_1.2x_margin,257400,-68095.644,-0.30840418478260867
2020-02-07,aggressive_1.2x_margin,227400,-98095.644,-0.44427375
2020-02-10,aggressive_1.2x_margin,222600,-102895.644,-0.4660128804347826
2020-02-11,aggressive_1.2x_margin,242400,-83095.644,-0.37633896739130435
2020-02-12,aggressive_1.2x_margin,263600,-61895.644,-0.2803244746376812
2020-02-13,aggressive_1.2x_margin,264600,-60895.644,-0.2757954891304348
2020-02-14,aggressive_1.2x_margin,271600,-53895.644,-0.24409259057971014
2020-02-17,aggressive_1.2x_margin,263400,-62095.644,-0.28123027173913046
2020-02-18,aggressive_1.2x_margin,237006.968,-88488.676,-0.40076393115942033
2020-02-19,aggressive_1.2x_margin,263806.968,-61688.67600000001,-0.27938711956521745
2020-02-20,aggressive_1.2x_margin,253806.968,-71688.676,-0.3246769746376812
2020-02-21,aggressive_1.2x_margin,243806.968,-81688.676,-0.36996682971014494
2020-02-24,aggressive_1.2x_margin,213406.968,-112088.676,-0.5076479891304349
2020-02-25,aggressive_1.2x_margin,219406.968,-106088.676,-0.4804740760869565
2020-02-26,aggressive_1.2x_margin,195406.968,-130088.676,-0.5891697282608696
2020-02-27,aggressive_1.2x_margin,166406.968,-159088.676,-0.7205103079710146
2020-03-02,aggressive_1.2x_margin,146406.968,-179088.676,-0.8110900181159421
2020-03-03,aggressive_1.2x_margin,175406.968,-150088.676,-0.6797494384057972
2020-03-04,aggressive_1.2x_margin,182806.968,-142688.676,-0.646234945652174
2020-03-05,aggressive_1.2x_margin,209406.968,-116088.676,-0.5257639311594203
2020-03-06,aggressive_1.2x_margin,165006.968,-160488.676,-0.7268508876811595
2020-03-09,aggressive_1.2x_margin,184000,-224088.676,-1.014894365942029
2020-03-10,aggressive_1.2x_margin,190000,-218088.676,-0.9877204528985507
2020-03-11,aggressive_1.2x_margin,158600,-249488.676,-1.129930597826087
2020-03-12,aggressive_1.2x_margin,184000,-341888.676,-1.5484088586956521
2020-03-13,aggressive_1.2x_margin,184000,-408888.676,-1.8518508876811592
2020-03-16,aggressive_1.2x_margin,184000,-478488.676,-2.167068278985507
2020-03-17,aggressive_1.2x_margin,184000,-540662.316,-2.448651793478261
2020-03-18,aggressive_1.2x_margin,184000,-597862.316,-2.7077097644927535
2020-03-19,aggressive_1.2x_margin,184000,-710462.316,-3.217673532608696
2020-03-20,aggressive_1.2x_margin,321000,-573462.316,-2.597202518115942
2020-03-23,aggressive_1.2x_margin,245800,-648662.316,-2.9377822282608697
2020-03-24,aggressive_1.2x_margin,351400,-543062.316,-2.459521358695652
2020-03-25,aggressive_1.2x_margin,429800,-464662.316,-2.104448894927536
